date_local,aqi
2008-02-04,7.723756906077348
2008-02-05,8.641873278236915
2008-02-06,8.952908587257618
2008-02-07,8.801652892561984
2008-02-08,9.767955801104973
2008-02-09,10.505524861878452
2008-02-10,9.812154696132596
2008-02-11,9.0
2008-02-12,8.925824175824175
2008-02-13,9.217032967032967
2008-02-14,6.661157024793388
2008-02-15,7.6657534246575345
2008-02-16,7.751366120218579
2008-02-17,7.508241758241758
2008-02-18,7.377410468319559
2008-02-19,7.8598901098901095
2008-02-20,6.823204419889502
2008-02-21,6.873626373626373
2008-02-22,6.63013698630137
2008-02-23,6.793388429752066
2008-02-24,6.421052631578948
2008-02-25,7.585635359116022
2008-02-26,8.377410468319558
2008-02-27,8.172602739726027
2008-02-28,8.213698630136987
2008-02-29,7.829670329670329
